ATM	0.623810
p53	0.929787
Mdm2	0.748775
MdmX	0.725673
Wip1	0.802797
cyclinG	0.774369
PTEN	0.779180
p21	0.721740
AKT	0.509983
cyclinE	0.504087
Rb	0.422090
E2F1	0.420562
p14ARF	0.796345
Bcl2	0.392660
Bax	0.176943
caspase	0.325359
